run,query_set,n,rerank_mode,selection_recall_macro,selection_precision_macro,retrieval_recall_macro,retrieval_precision_macro,graph_local_avg_distance,retrieved_total,retrieved_avg,selected_total,selected_avg,retrieved_gt,total_gt,selected_gt,notes
baseline_common184,testfast_common184,184,original_scholargym_bm25,0.5581327639751553,0.12041291266254728,0.588476966873706,0.01892540105536846,0.647950698757764,11254,61.16304347826087,3927,21.342391304347824,179,342,172,"Original ScholarGym baseline; 16 of 200 queries failed in the historical run, so common184 is used for fair comparison."
per_subquery_common184,testfast_common184,184,query_subquery_intent_path_weighted,0.6464285714285714,0.1891548769479113,0.7307108350586612,0.012714784639696464,0.6981196299171842,20174,109.6413043478261,2609,14.179347826086957,248,342,212,"Per-subquery graph augmented retrieval on the same 184 query ids as the baseline."
per_subquery_full200,testfast_full200,200,query_subquery_intent_path_weighted,0.649547619047619,0.19016987051045603,0.7337539682539682,0.012695773792667226,0.7045533928571429,21877,109.385,2796,13.98,268,374,230,"Full Test-Fast 200 run for the per-subquery method."
per_subquery_first40_run1,testfast_first40,40,original_current_subquery_weighted,0.5711309523809524,0.1140466450491558,0.6982142857142858,0.011599262109722785,0.6211666666666666,4142,103.55,591,14.775,46,68,37,"First first40 run with original-query/current-subquery weighted BM25 rerank."
per_subquery_first40_run2,testfast_first40,40,original_current_subquery_weighted,0.618452380952381,0.1391925270641992,0.6595238095238095,0.011773265966328212,0.6534226190476191,4025,100.625,591,14.775,48,68,43,"Second first40 run with original-query/current-subquery weighted BM25 rerank."
per_subquery_first40_run3,testfast_first40,40,original_current_subquery_weighted,0.6107142857142858,0.12350313354098623,0.6732142857142858,0.011868601998960449,0.6523630952380952,3929,98.225,510,12.75,46,68,43,"Third first40 run with original-query/current-subquery weighted BM25 rerank."
baseline_first40_stage1_v3,testfast_first40,40,original_scholargym_bm25,0.6044642857142857,0.15886626303807394,0.6419642857142857,0.009331970181746535,0.6803690476190477,4583,114.575,599,14.975,43,68,41,"ScholarGym_trace stage1_v3 baseline. Summary flag says reasoning=true due recording bug; actual config/API used no thinking."
baseline_first40_third_party_graph_dir,testfast_first40,40,original_scholargym_bm25,0.5773809523809523,0.12143506826438374,0.6148809523809524,0.008521006216472529,0.639884,NA,NA,NA,NA,NA,68,NA,"Third-party first40 baseline summary from dashscope_graph directory; original stage1 summary before graph postprocess artifacts."
